00000000			//0
55F02422			//1441801250
2AF81211			//720900625
853A9062			//2235207778
429D4831			//1117603889
910D2B72			//2433559410
488695B9			//1216779705
9401D236			//2483147318
4A00E91B			//1241573659
94BEFBE7			//2495544295
BA1E054D			//3122529613
CCCD8A00			//3436022272
0000000C			//12
131EAB35			//320777013
577434FB			//1467233531
799EF9DE			//2040461790
3CCF7CEF			//1020230895
6C4C9DD8			//1816960472
36264EEC			//908480236
1B132776			//454240118
0D8993BB			//227120059
54A9A93E			//1420405054
2A54D49F			//710202527
630F49B0			//1661946288
3187A4D8			//830973144
18C3D26C			//415486572
0C61E936			//207743286
0630F49B			//103871643
50FD59AE			//1358780846
287EACD7			//679390423
622435CC			//1646540236
31121AE6			//823270118
18890D73			//411635059
5A29661A			//1512662554
2D14B30D			//756331277
646F38E7			//1685010663
801C7BD4			//2149350356
400E3DEA			//1074675178
20071EF5			//537337589
5DE86EDB			//1575513819
7CD916CE			//2094601934
3E6C8B67			//1047300967
6D1B2514			//1830495508
368D928A			//915247754
1B46C945			//457623877
0000000D			//13
81526A57			//2169662039
B5D145B1			//3050390961
D010B35E			//3490755422
680859AF			//1745377711
A92C3D5D			//2838248797
C9BE2F34			//3384684340
64DF179A			//1692342170
326F8BCD			//846171085
8E5FD66C			//2388645484
472FEB36			//1194322742
2397F59B			//597161371
86F40B53			//2264140627
B8A2162F			//3097630255
D1791B9D			//3514375069
DDE49E54			//3722747476
6EF24F2A			//1861373738
37792795			//930686869
90E4A450			//2430903376
48725228			//1215451688
24392914			//607725844
121C948A			//303862922
090E4A45			//151931461
79AF35A8			//2041525672
3CD79AD4			//1020762836
1E6BCD6A			//510381418
0F35E6B5			//255190709
7CC303E0			//2093155296
3E6181F0			//1046577648
1F30C0F8			//523288824
0F98607C			//261644412
07CC303E			//130822206
03E6181F			//65411103
0000000E			//14
009FA87F			//10463359
7DBB34E1			//2109420769
BC48FB12			//3158899474
5E247D89			//1579449737
AC7D9F66			//2893913958
563ECFB3			//1446956979
A88AC87B			//2827667579
D1B0C4DF			//3518022879
E643C311			//3863200529
F08D422A			//4035789354
7846A115			//2017894677
B98EB12C			//3113136428
5CC75896			//1556568214
2E63AC4B			//778284107
949D36C7			//2493331143
C7B9FC05			//3350854661
E1485EA4			//3779616420
70A42F52			//1889808210
385217A9			//944904105
99946C76			//2576641142
4CCA363B			//1288320571
A3D07BBF			//2748349375
CF539E81			//3478363777
E5152FE2			//3843370978
728A97F1			//1921685489
B6B0AC9A			//3065031834
5B58564D			//1532515917
AB178BC8			//2870447048
558BC5E4			//1435223524
2AC5E2F2			//717611762
1562F179			//358805881
881CD95E			//2283592030
0000000F			//15
2D69FD50			//761920848
16B4FEA8			//380960424
0B5A7F54			//190480212
05AD3FAA			//95240106
02D69FD5			//47620053
63470E66			//1665601126
31A38733			//832800563
7AAD8215			//2058191381
9F327F86			//2670886790
4F993FC3			//1335443395
89A85E5D			//2309512797
A6AFEDAA			//2796547498
5357F6D5			//1398273749
8B87B9E6			//2340927974
45C3DCF3			//1170463987
84BDACF5			//2227023093
A43A94F6			//2755302646
521D4A7B			//1377651323
8AEA63B9			//2330616761
A750F058			//2807099480
53A8782C			//1403549740
29D43C16			//701774870
14EA1E0B			//350887435
6C50CD81			//1817234817
9804253C			//2550408508
4C02129E			//1275204254
2601094F			//637602127
74DC4323			//1960592163
9C49E00D			//2622087181
B000AE82			//2952834690
58005741			//1476417345
8DDBEA1C			//2379999772
00000010			//16
84CF5603			//2228180483
983E7E8F			//2554232463
A1F612D5			//2717258453
A6D1DCF8			//2798771448
5368EE7C			//1399385724
29B4773E			//699692862
14DA3B9F			//349846431
6043F15D			//1615065437
85F8CC3C			//2247674940
42FC661E			//1123837470
217E330F			//561918735
6695ED15			//1721101589
8921CA18			//2300693016
4490E50C			//1150346508
22487286			//575173254
11243943			//287586627
5E68F02F			//1583935535
850B4BA5			//2232109989
985C7960			//2556197216
4C2E3CB0			//1278098608
26171E58			//639049304
130B8F2C			//319524652
0985C796			//159762326
04C2E3CB			//79881163
58384573			//1480082803
81F2F647			//2180183623
96D04EB1			//2530234033
A13EFAE6			//2705259238
509F7D73			//1352629619
7E269247			//2116457031
94EA1CB1			//2498370737
A04BE1E6			//2689327590
00000011			//17
10FAE668			//284878440
087D7334			//142439220
043EB99A			//71219610
021F5CCD			//35609805
5C150149			//1544880457
890FD387			//2299515783
9F8D3CA6			//2676833446
4FC69E53			//1338416723
82E8A20C			//2196283916
41745106			//1098141958
20BA2883			//549070979
6B626724			//1801611044
35B13392			//900805522
1AD899C9			//450402761
68719FC7			//1752276935
8F3E22C6			//2403214022
479F1163			//1201607011
7ED4DB94			//2127879060
3F6A6DCA			//1063939530
1FB536E5			//531969765
6ADFEE55			//1793060437
90754A0D			//2423605773
A33FF7E9			//2738878441
ACA54ED7			//2896514775
B157FA4E			//2975332942
58ABFD27			//1487666471
875B5176			//2270908790
43ADA8BB			//1135454395
7CDC2740			//2094802752
3E6E13A0			//1047401376
1F3709D0			//523700688
0F9B84E8			//261850344
00000012			//18
7173A523			//1903404323
A0260887			//2686847111
B77F3A39			//3078568505
C32BD312			//3274429202
6195E989			//1637214601
98372ABA			//2553752250
4C1B955D			//1276876125
8D7A00A4			//2373583012
46BD0052			//1186791506
235E8029			//593395753
791B760A			//2031842826
3C8DBB05			//1015921413
85B31378			//2243105656
42D989BC			//1121552828
216CC4DE			//560776414
10B6626F			//280388207
6FC7672D			//1875339053
9F4FE98C			//2672814476
4FA7F4C6			//1336407238
27D3FA63			//668203619
7B563327			//2069246759
A5174F89			//2769768329
B9F7DDBA			//3120029114
5CFBEEDD			//1560014557
95EA2D64			//2515152228
4AF516B2			//1257576114
257A8B59			//628788057
7A297BA2			//2049538978
3D14BDD1			//1024769489
85F694DE			//2247529694
42FB4A6F			//1123764847
88E9DB2D			//2297027373
00000013			//19
8985F21D			//2307256861
B4E7651C			//3035063580
5A73B28E			//1517531790
2D39D947			//758765895
86C158B1			//2260818097
B3851866			//3011844198
59C28C33			//1505922099
9D05B227			//2634396199
BEA74521			//3198633249
CF780E9E			//3480751774
67BC074F			//1740375887
A4026FB5			//2751623093
C225A3E8			//3257246696
6112D1F4			//1628623348
308968FA			//814311674
1844B47D			//407155837
7C46C64C			//2085013068
3E236326			//1042506534
1F11B193			//521253267
7FAD44D7			//2142061783
AFFB0E79			//2952466041
C821F34A			//3357668170
6410F9A5			//1678834085
A22CE8E0			//2720852192
51167470			//1360426096
288B3A38			//680213048
14459D1C			//340106524
0A22CE8E			//170053262
05116747			//85026631
72AD1FB1			//1923948465
A97AFBE6			//2843409382
54BD7DF3			//1421704691
